COUNTRY,COURSE TYPE,COURSE (SPECIALIZATION),FEES,FEES_NORMALIZED,FEE_CATEGORY,DESVIACION_FEE
AUSTRALIA,MBA,MBA in Sales & Marketing,1818006.2,0.002803492774221951,Media,-193667.8092857143
AUSTRALIA,MBA,MBA in Supply Chain & Logistics Management,1625717.08,0.002499367219357331,Media,-385956.92928571417
AUSTRALIA,MBA,MBA in Business Administration,2150141.94,0.0033288005306767697,Media,138467.9307142857
AUSTRALIA,MBA,MBA in Entrepreneurship & Leadership Management,1362958.37,0.002083786564173814,Media,-648715.6392857141
AUSTRALIA,MBA,MBA in Executive MBA,3660048.53,0.005716877294861333,Alta,1648374.5207142856
AUSTRALIA,MBA,MBA in Finance,1496795.97,0.0022954648658985765,Media,-514878.0392857143
AUSTRALIA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Hotel Management,1409391.82,0.002157225970134633,Media,-602282.1892857142
AUSTRALIA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Marketing,1311062.16,0.0020017072262392445,Media,-700611.8492857143
AUSTRALIA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Logistics & Supply Chain ,1622439.42,0.002494183253846658,Media,-389234.5892857143
AUSTRALIA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Finance,1606051.15,0.0024682634737414645,Media,-405622.85928571434
AUSTRALIA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in International Business ,1606051.15,0.0024682634737414645,Media,-405622.85928571434
AUSTRALIA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Supply Chain Management,2040012.72,0.003154619536248651,Media,28338.710714285728
AUSTRALIA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Human Resource Management,2312713.65,0.003585924862563255,Alta,301039.64071428566
AUSTRALIA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Banking,2467418.99,0.0038306076993666056,Alta,455744.980714286
AUSTRALIA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Accounting,2576674.17,0.004003406307209492,Alta,565000.1607142857
AUSTRALIA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Communication,2107860.19,0.0032619274768118543,Media,96186.1807142857
AUSTRALIA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Business Administration,2312713.65,0.003585924862563255,Alta,301039.64071428566
AUSTRALIA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Project Management,2467418.99,0.0038306076993666056,Alta,455744.980714286
AUSTRALIA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Entrepreneurship & Leadership Management,1468389.62,0.002250537222798288,Media,-543284.3892857141
AUSTRALIA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Environment,1584200.11,0.0024337037458464646,Media,-427473.89928571414
AUSTRALIA,M.ENG,M.ENG in Mechanical,2258523.08,0.0035002167519344266,Alta,246849.07071428583
AUSTRALIA,M.ENG,M.ENG in Electrical,2281248.16,0.003536158866414658,Alta,269574.1507142859
AUSTRALIA,M.ENG,M.ENG in Architecture,1627902.18,0.002502823185820408,Media,-383771.8292857143
AUSTRALIA,M.ENG,M.ENG in Civil Engineering,2257430.53,0.0034984887687028875,Alta,245756.52071428555
AUSTRALIA,M.ENG,M.ENG in Chemical,1963097.07,0.0030329693111395915,Media,-48576.93928571418
AUSTRALIA,M.ENG,M.ENG in Computer Engineering,2125013.25,0.0032890568530871537,Media,113339.24071428576
AUSTRALIA,M.ENG,M.ENG in Mining,1928353.93,0.002978019365296378,Media,-83320.07928571431
AUSTRALIA,M.ENG,M.ENG in Aerospace Engineering,2125013.25,0.0032890568530871537,Media,113339.24071428576
AUSTRALIA,M.ENG,M.ENG in Agriculture,2239731.19,0.003470495392903791,Media,228057.1807142857
AUSTRALIA,M.ENG,M.ENG in Biological,2258523.08,0.0035002167519344266,Alta,246849.07071428583
AUSTRALIA,M.ENG,M.ENG in Mechatronics,1928353.93,0.002978019365296378,Media,-83320.07928571431
AUSTRALIA,M.ENG,M.ENG in Energy Engineering,1928353.93,0.002978019365296378,Media,-83320.07928571431
AUSTRALIA,M.ENG,M.ENG in Food Technology,2255026.92,0.0034946872055935025,Media,243352.91071428568
AUSTRALIA,M.ENG,M.ENG in Software,1928353.93,0.002978019365296378,Media,-83320.07928571431
AUSTRALIA,M.Sc,M.Sc in Physics,1911965.65,0.002952099569375128,Media,-99708.35928571434
AUSTRALIA,M.Sc,M.Sc in Chemistry,1518647.0,0.0023300245779775204,Media,-493027.00928571424
AUSTRALIA,M.Sc,"M.Sc in 
Biology",2346801.27,0.003639838034283602,Alta,335127.2607142858
AUSTRALIA,M.Sc,M.Sc in Psychology ,2256775.0,0.003497451978763965,Media,245100.99071428576
AUSTRALIA,M.Sc,M.Sc in Environment,2346801.27,0.003639838034283602,Alta,335127.2607142858
AUSTRALIA,M.Sc,M.Sc in Agriculture,2181607.43,0.0033785665268253676,Media,169933.42071428592
AUSTRALIA,M.Sc,M.Sc in Mathematics,2004832.55,0.003098978381296766,Media,-6841.459285714198
AUSTRALIA,M.Sc,M.Sc in Communication,1811887.91,0.002793816052309278,Media,-199786.09928571433
BELGIUM,MBA,MBA in Business Administartion,3524922.18,0.005503160698880339,Alta,2530682.2772413795
BELGIUM,MBA,MBA in Supply Chain And Logistic,1170605.01,0.0017795594069634935,Media,176365.10724137945
BELGIUM,MBA,MBA in Executive MBA,3524922.18,0.005503160698880339,Alta,2530682.2772413795
BELGIUM,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Marketing,1355913.14,0.002072643788738059,Media,361673.23724137933
BELGIUM,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Management,1170605.01,0.0017795594069634935,Media,176365.10724137945
BELGIUM,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in General Management,3524922.18,0.005503160698880339,Alta,2530682.2772413795
BELGIUM,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Global Management,1170605.01,0.0017795594069634935,Media,176365.10724137945
BELGIUM,MASTERS OF MANAGEMENT,"MASTERS OF MANAGEMENT in 
Finance",1170605.01,0.0017795594069634935,Media,176365.10724137945
BELGIUM,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in International Business,1373991.98,0.002101237383873908,Media,379752.0772413794
BELGIUM,MASTERS OF MANAGEMENT,"MASTERS OF MANAGEMENT in 
Information Technology",158189.87,0.00017831792119538285,Baja,-836050.0327586206
BELGIUM,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Business Administartion,1310716.03,0.0020011597850823804,Media,316476.12724137946
BELGIUM,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Economics College,3663677.3,0.00572261657792491,Alta,2669437.397241379
BELGIUM,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Entreprenuer and Leadership,1309930.0,0.0019999165956086844,Media,315690.09724137944
BELGIUM,M.ENG,M.ENG in Mechanical,504097.2,0.0007254069019343317,Baja,-490142.70275862055
BELGIUM,M.ENG,M.ENG in Electrical,594437.2,0.000868289154588407,Baja,-399802.7027586206
BELGIUM,M.ENG,M.ENG in Architecture,316190.0,0.0004282118164138548,Baja,-678049.9027586206
BELGIUM,M.ENG,M.ENG in Civil,130993.0,0.00013530319847300024,Baja,-863246.9027586206
BELGIUM,M.ENG,M.ENG in Chemical,542040.0,0.0007854174480490433,Baja,-452199.90275862056
BELGIUM,M.ENG,M.ENG in Agriculture,130993.0,0.00013530319847300024,Baja,-863246.9027586206
BELGIUM,M.ENG,M.ENG in Biology,311673.0,0.00042106770378115105,Baja,-682566.9027586206
BELGIUM,M.ENG,M.ENG in Biomedical,542040.0,0.0007854174480490433,Baja,-452199.90275862056
BELGIUM,M.ENG,M.ENG in Materials,542040.0,0.0007854174480490433,Baja,-452199.90275862056
BELGIUM,M.ENG,M.ENG in Nuclear,80402.6,5.5289136986718036e-05,Baja,-913837.3027586206
BELGIUM,M.Sc,M.Sc in Physics,81848.04,5.757525302918322e-05,Baja,-912391.8627586205
BELGIUM,M.Sc,M.Sc in Chemistry,172188.04,0.00020045750568325866,Baja,-822051.8627586205
BELGIUM,M.Sc,M.Sc in Biology,130993.0,0.00013530319847300024,Baja,-863246.9027586206
BELGIUM,M.Sc,M.Sc in Psychology ,130993.0,0.00013530319847300024,Baja,-863246.9027586206
BELGIUM,M.Sc,M.Sc in Environment,90340.0,7.100618477866632e-05,Baja,-903899.9027586206
BELGIUM,M.Sc,M.Sc in Data Analysis,102084.2,8.958087762369612e-05,Baja,-892155.7027586206
CANADA,MBA,MBA in Executive MBA,2261903.85,0.0035055637968016543,Alta,424540.0725423731
CANADA,MBA,MBA in Banking,1735926.81,0.0026736755488547567,Media,-101436.96745762695
CANADA,MBA,MBA in Business Administration,3868254.57,0.006046177140017239,Alta,2030890.7925423728
CANADA,MBA,MBA in Hospital/Healthcare Management,2357658.81,0.0036570103806803445,Alta,520295.03254237305
CANADA,MBA,MBA in Human Resource Management,1675711.67,0.0025784389443929395,Media,-161652.10745762708
CANADA,MBA,MBA in International Business,1735926.81,0.0026736755488547567,Media,-101436.96745762695
CANADA,MBA,MBA in Entrepreneurship & Leadership Management,1735926.81,0.0026736755488547567,Media,-101436.96745762695
CANADA,MBA,MBA in Project Management,1557552.52,0.002391557767464771,Media,-279811.257457627
CANADA,MBA,MBA in Marketing,1387219.19,0.0021221576136849388,Media,-450144.58745762706
CANADA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Hotel Management,1012792.77,0.0015299626796269252,Media,-824571.007457627
CANADA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Marketing,994501.12,0.0015010325029968618,Media,-842862.657457627
CANADA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Event Management,985478.06,0.0014867615804970515,Media,-851885.717457627
CANADA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Logistics & Supply Chain ,869712.77,0.0013036665460233708,Media,-967651.007457627
CANADA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in International Business ,2949682.22,0.004593357939289458,Alta,1112318.4425423732
CANADA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Supply Chain Management,1507403.93,0.0023122424751620737,Media,-329959.84745762707
CANADA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Hospital/Healthcare Management,3729532.65,0.005826773770279598,Alta,1892168.872542373
CANADA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Real Estate,859339.32,0.0012872598390962684,Media,-978024.457457627
CANADA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Human Resource Management,890030.01,0.0013358004072023999,Media,-947333.767457627
CANADA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Risk Management,1103453.07,0.0016733515205644312,Media,-733910.7074576269
CANADA,MASTERS OF MANAGEMENT,"MASTERS OF MANAGEMENT in Sports,Leisure & Tourism",767267.25,0.0011416381347778746,Baja,-1070096.527457627
CANADA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Eco-Design & Sustainable,2739082.7,0.004260272552689203,Alta,901718.9225423732
CANADA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Tourism,1619240.8,0.0024891242984450158,Media,-218122.97745762696
CANADA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Data Analysis,3255975.3,0.005077792799182693,Alta,1418611.5225423728
CANADA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Digital Marketing,2930224.32,0.004562583215092892,Alta,1092860.5425423728
CANADA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Leadership,1659138.7,0.0025522270417278033,Media,-178225.07745762705
CANADA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Public Relations Management,1074296.91,0.0016272379737463807,Media,-763066.8674576271
CANADA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Sports Management,3831425.74,0.005987928455126671,Alta,1994061.9625423732
